,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
336,regulation of glucose import (GO:0046324),GO:0046324,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,regulation of glucose transmembrane transport,,,
337,plasma membrane organization (GO:0007009),GO:0007009,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,,,,
338,regulation of secretion (GO:0051046),GO:0051046,biological regulation,regulation of biological process,regulation of localization,regulation of transport,,,,
339,regulation of calcium ion-dependent exocytosis (GO:0017158),GO:0017158,biological regulation,regulation of biological process,regulation of localization,regulation of secretion by cell,regulation of secretion,regulation of regulated secretory pathway,,
340,sensory organ development (GO:0007423),GO:0007423,developmental process,anatomical structure development,animal organ development,,,,,
341,positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949),GO:0030949,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,positive regulation of cell communication,,,
342,negative regulation of smooth muscle cell migration (GO:0014912),GO:0014912,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell motility,regulation of cell migration,regulation of smooth muscle cell migration,,
343,viral budding via host ESCRT complex (GO:0039702),GO:0039702,viral process,viral budding,,,,,,
344,activation of protein kinase A activity (GO:0034199),GO:0034199,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,activation of protein kinase activity
345,negative regulation of DNA recombination (GO:0045910),GO:0045910,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of macromolecule metabolic process,negative regulation of DNA metabolic process,,
346,positive regulation of nitrogen compound metabolic process (GO:0051173),GO:0051173,biological regulation,regulation of biological process,positive regulation of biological process,regulation of nitrogen compound metabolic process,,,,
347,negative regulation of receptor-mediated endocytosis (GO:0048261),GO:0048261,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of transport,regulation of endocytosis,regulation of receptor-mediated endocytosis,,
348,cellular respiration (GO:0045333),GO:0045333,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,,,,
349,positive regulation of developmental growth (GO:0048639),GO:0048639,biological regulation,regulation of biological process,positive regulation of biological process,regulation of developmental growth,,,,
350,bicarbonate transport (GO:0015701),GO:0015701,localization,establishment of localization,transport,organic substance transport,organic anion transport,,,
351,regulation of establishment of protein localization (GO:0070201),GO:0070201,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,,,
352,response to axon injury (GO:0048678),GO:0048678,response to stimulus,response to stress,response to wounding,,,,,
353,energy reserve metabolic process (GO:0006112),GO:0006112,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,,,,
354,regulation of protein localization to cell cortex (GO:1904776),GO:1904776,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of protein localization to cell periphery,,
355,cell morphogenesis involved in neuron differentiation (GO:0048667),GO:0048667,developmental process,anatomical structure morphogenesis,cell morphogenesis,cell morphogenesis involved in differentiation,,,,
356,gliogenesis (GO:0042063),GO:0042063,developmental process,cellular developmental process,cell differentiation,neurogenesis,,,,
357,regulation of cytoskeleton organization (GO:0051493),GO:0051493,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,
358,neutral amino acid transport (GO:0015804),GO:0015804,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
359,positive regulation of cellular response to insulin stimulus (GO:1900078),GO:1900078,biological regulation,regulation of biological process,regulation of response to stimulus,positive regulation of response to stimulus,,,,
360,cellular response to unfolded protein (GO:0034620),GO:0034620,cellular process,response to chemical,cellular response to stress,cellular response to organic substance,,,,
361,cellular senescence (GO:0090398),GO:0090398,metabolic process,cellular metabolic process,,,,,,
362,chondroitin sulfate biosynthetic process (GO:0030206),GO:0030206,cellular process,nitrogen compound metabolic process,organic substance biosynthetic process,macromolecule biosynthetic process,glycosaminoglycan metabolic process,glycosaminoglycan biosynthetic process,,
363,ribosomal small subunit assembly (GO:0000028),GO:0000028,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
364,regulation of fatty acid beta-oxidation (GO:0031998),GO:0031998,biological regulation,regulation of biological process,regulation of metabolic process,regulation of small molecule metabolic process,regulation of lipid metabolic process,regulation of fatty acid metabolic process,regulation of fatty acid oxidation,
365,regulation of receptor recycling (GO:0001919),GO:0001919,biological regulation,regulation of biological process,regulation of signaling,regulation of macromolecule metabolic process,,,,
366,regulation of glycogen biosynthetic process (GO:0005979),GO:0005979,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of polysaccharide metabolic process,regulation of polysaccharide biosynthetic process,regulation of glucan biosynthetic process,
367,telomere maintenance (GO:0000723),GO:0000723,cellular process,primary metabolic process,organic cyclic compound metabolic process,organelle organization,DNA metabolic process,telomere organization,,
368,B cell receptor signaling pathway (GO:0050853),GO:0050853,cellular process,activation of immune response,positive regulation of biological process,immune response-regulating cell surface receptor signaling pathway,antigen receptor-mediated signaling pathway,,,
369,cGMP metabolic process (GO:0046068),GO:0046068,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,purine ribonucleotide metabolic process,,
370,peptidyl-serine dephosphorylation (GO:0070262),GO:0070262,cellular process,cellular metabolic process,phosphorus metabolic process,phosphate-containing compound metabolic process,dephosphorylation,,,
371,peroxisome organization (GO:0007031),GO:0007031,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,,,,
372,nicotinamide nucleotide metabolic process (GO:0046496),GO:0046496,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,,,
373,positive regulation of actin filament bundle assembly (GO:0032233),GO:0032233,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of supramolecular fiber organization,regulation of cytoskeleton organization,positive regulation of cytoskeleton organization,
374,autonomic nervous system development (GO:0048483),GO:0048483,developmental process,anatomical structure development,system development,,,,,
375,regulation of heart contraction (GO:0008016),GO:0008016,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,regulation of blood circulation,,,
376,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),GO:0010770,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell differentiation,regulation of cell morphogenesis,regulation of cell morphogenesis involved in differentiation,,
377,positive regulation of glycogen biosynthetic process (GO:0045725),GO:0045725,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,positive regulation of carbohydrate metabolic process,positive regulation of macromolecule biosynthetic process,regulation of glucan biosynthetic process,
378,activation of adenylate cyclase activity (GO:0007190),GO:0007190,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of lyase activity,positive regulation of cyclase activity,positive regulation of adenylate cyclase activity,,
379,synaptic vesicle endocytosis (GO:0048488),GO:0048488,localization,establishment of localization,transport,vesicle-mediated transport,endocytosis,,,
380,regulation of alcohol biosynthetic process (GO:1902930),GO:1902930,biological regulation,regulation of biological process,regulation of metabolic process,regulation of small molecule metabolic process,,,,
381,regulation of vascular endothelial cell proliferation (GO:1905562),GO:1905562,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell population proliferation,regulation of epithelial cell proliferation,regulation of endothelial cell proliferation,,
382,transcription-coupled nucleotide-excision repair (GO:0006283),GO:0006283,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,nucleotide-excision repair,,
383,mitotic DNA integrity checkpoint (GO:0044774),GO:0044774,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of cell cycle,negative regulation of cell cycle process,negative regulation of cell cycle phase transition,
384,regulation of cardiac conduction (GO:1903779),GO:1903779,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,regulation of blood circulation,regulation of heart contraction,,
385,viral budding (GO:0046755),GO:0046755,viral process,,,,,,,
386,regulation of ossification (GO:0030278),GO:0030278,biological regulation,regulation of biological process,regulation of multicellular organismal process,,,,,
387,negative regulation of stress fiber assembly (GO:0051497),GO:0051497,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,regulation of actomyosin structure organization,negative regulation of cytoskeleton organization,
388,dendritic spine morphogenesis (GO:0060997),GO:0060997,developmental process,anatomical structure morphogenesis,cellular component morphogenesis,cell projection organization,cell projection morphogenesis,plasma membrane bounded cell projection morphogenesis,neuron projection morphogenesis,
389,regulation of bone resorption (GO:0045124),GO:0045124,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of tissue remodeling,regulation of bone remodeling,,,
390,negative regulation of cell growth (GO:0030308),GO:0030308,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell growth,,,,
391,aminoglycan metabolic process (GO:0006022),GO:0006022,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,,,,,
392,glycerolipid metabolic process (GO:0046486),GO:0046486,cellular process,cellular metabolic process,lipid metabolic process,,,,,
393,tRNA modification (GO:0006400),GO:0006400,cellular process,primary metabolic process,organic cyclic compound metabolic process,macromolecule modification,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing
394,long-chain fatty acid transport (GO:0015909),GO:0015909,localization,establishment of localization,transport,organic substance transport,lipid transport,carboxylic acid transport,monocarboxylic acid transport,
395,axonal transport of mitochondrion (GO:0019896),GO:0019896,cellular process,cellular localization,microtubule-based movement,"establishment of mitochondrion localization, microtubule-mediated",mitochondrion transport along microtubule,axonal transport,,
396,cardiac muscle cell contraction (GO:0086003),GO:0086003,cellular process,actin filament-based process,actin filament-based movement,actin-mediated cell contraction,,,,
397,long-term synaptic potentiation (GO:0060291),GO:0060291,biological regulation,regulation of biological process,regulation of synaptic plasticity,positive regulation of cellular process,positive regulation of cell communication,,,
398,ribosomal large subunit assembly (GO:0000027),GO:0000027,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
399,regulation of ERBB signaling pathway (GO:1901184),GO:1901184,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
400,regulation of blood vessel endothelial cell migration (GO:0043535),GO:0043535,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell motility,regulation of cell migration,,,
401,regulation of membrane protein ectodomain proteolysis (GO:0051043),GO:0051043,biological regulation,regulation of biological process,regulation of metabolic process,regulation of catabolic process,regulation of cellular catabolic process,regulation of proteolysis,,
402,regulation of calcium ion transmembrane transport (GO:1903169),GO:1903169,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,regulation of monoatomic ion transmembrane transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transport,
403,histone exchange (GO:0043486),GO:0043486,,,,,,,,
404,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),GO:1903798,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of gene silencing by RNA,,
405,maturation of LSU-rRNA (GO:0000470),GO:0000470,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
406,positive regulation of cell division (GO:0051781),GO:0051781,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell division,,,,
407,positive regulation of transcription regulatory region DNA binding (GO:2000679),GO:2000679,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of DNA binding,positive regulation of DNA binding,,,
408,negative regulation of cyclase activity (GO:0031280),GO:0031280,biological regulation,regulation of molecular function,negative regulation of molecular function,negative regulation of catalytic activity,,,,
409,carbohydrate catabolic process (GO:0016052),GO:0016052,metabolic process,catabolic process,organic substance catabolic process,,,,,
410,glycolytic process (GO:0006096),GO:0006096,cellular process,catabolic process,organic acid metabolic process,carbohydrate catabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,pyruvate metabolic process,
411,regulation of lamellipodium morphogenesis (GO:2000392),GO:2000392,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of cell morphogenesis,regulation of plasma membrane bounded cell projection organization,regulation of lamellipodium organization,
412,cellular lipid biosynthetic process (GO:0097384),GO:0097384,cellular process,biosynthetic process,lipid metabolic process,lipid biosynthetic process,,,,
413,embryonic heart tube development (GO:0035050),GO:0035050,developmental process,anatomical structure development,tissue development,epithelium development,,,,
414,positive regulation of multi-organism process (GO:0043902),GO:0043902,,,,,,,,
415,homotypic cell-cell adhesion (GO:0034109),GO:0034109,cellular process,cell adhesion,cell-cell adhesion,,,,,
416,regulation of AMPA receptor activity (GO:2000311),GO:2000311,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,,,
417,mitochondrial translational termination (GO:0070126),GO:0070126,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex disassembly,translational termination,,
418,sterol metabolic process (GO:0016125),GO:0016125,metabolic process,organic substance metabolic process,organic hydroxy compound metabolic process,steroid metabolic process,,,,
419,positive regulation of stress fiber assembly (GO:0051496),GO:0051496,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of supramolecular fiber organization,positive regulation of actin filament bundle assembly,positive regulation of cytoskeleton organization,
420,presynapse assembly (GO:0099054),GO:0099054,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component assembly,,,,
421,peptidyl-serine modification (GO:0018209),GO:0018209,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,peptidyl-amino acid modification,,,
422,regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),GO:0060260,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
423,cellular potassium ion homeostasis (GO:0030007),GO:0030007,homeostatic process,chemical homeostasis,inorganic ion homeostasis,potassium ion homeostasis,intracellular monoatomic cation homeostasis,,,
424,positive regulation of histone phosphorylation (GO:0033129),GO:0033129,,,,,,,,
425,regulation of autophagy of mitochondrion (GO:1903146),GO:1903146,biological regulation,regulation of biological process,regulation of metabolic process,regulation of catabolic process,regulation of cellular catabolic process,regulation of autophagy,,
426,positive regulation of protein tyrosine kinase activity (GO:0061098),GO:0061098,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein tyrosine kinase activity,regulation of peptidyl-tyrosine phosphorylation
427,neuromuscular junction development (GO:0007528),GO:0007528,cellular process,cellular component organization or biogenesis,cellular component organization,cell junction organization,synapse organization,,,
428,"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",GO:0006120,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,respiratory electron transport chain,aerobic respiration,,
429,negative regulation of protein localization to membrane (GO:1905476),GO:1905476,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of protein localization to membrane,,
430,vesicle transport along actin filament (GO:0030050),GO:0030050,cellular process,actin filament-based process,vesicle localization,cytoskeleton-dependent intracellular transport,actin filament-based transport,,,
431,positive regulation of cardiac muscle tissue growth (GO:0055023),GO:0055023,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of organ growth,regulation of heart growth,positive regulation of heart growth,,
432,nucleoside metabolic process (GO:0009116),GO:0009116,cellular process,cellular metabolic process,carbohydrate derivative metabolic process,glycosyl compound metabolic process,,,,
433,positive regulation of autophagy (GO:0010508),GO:0010508,biological regulation,regulation of biological process,positive regulation of biological process,regulation of catabolic process,positive regulation of cellular metabolic process,regulation of autophagy,,
434,glycerophospholipid catabolic process (GO:0046475),GO:0046475,cellular process,catabolic process,cellular lipid metabolic process,organophosphate catabolic process,glycerolipid catabolic process,,,
435,cGMP biosynthetic process (GO:0006182),GO:0006182,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,purine ribonucleotide metabolic process,cyclic nucleotide biosynthetic process,
436,positive regulation of myeloid leukocyte differentiation (GO:0002763),GO:0002763,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of cell development,positive regulation of cell development,,
437,negative regulation of dendrite development (GO:2000171),GO:2000171,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
438,glutathione biosynthetic process (GO:0006750),GO:0006750,cellular process,nitrogen compound metabolic process,glutathione metabolic process,peptide metabolic process,peptide biosynthetic process,nonribosomal peptide biosynthetic process,,
439,organic hydroxy compound transport (GO:0015850),GO:0015850,localization,establishment of localization,transport,organic substance transport,,,,
440,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),GO:0050427,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleoside bisphosphate metabolic process,purine ribonucleotide metabolic process,,
441,Golgi inheritance (GO:0048313),GO:0048313,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle inheritance,,,
442,skeletal system development (GO:0001501),GO:0001501,developmental process,anatomical structure development,system development,,,,,
443,regulation of interleukin-6 production (GO:0032675),GO:0032675,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
444,cellular response to leucine (GO:0071233),GO:0071233,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organonitrogen compound,response to leucine,,,
445,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",GO:0006123,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,respiratory electron transport chain,aerobic respiration,,
446,renal water homeostasis (GO:0003091),GO:0003091,homeostatic process,chemical homeostasis,multicellular organismal-level chemical homeostasis,multicellular organismal-level water homeostasis,,,,
447,negative regulation of lyase activity (GO:0051350),GO:0051350,biological regulation,regulation of molecular function,negative regulation of molecular function,negative regulation of catalytic activity,,,,
448,glycolytic process through glucose-6-phosphate (GO:0061620),GO:0061620,cellular process,catabolic process,organic acid metabolic process,carbohydrate catabolic process,glycolytic process,glycolytic process through fructose-6-phosphate,pyruvate metabolic process,
449,DNA-templated transcriptional preinitiation complex assembly (GO:0070897),GO:0070897,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,protein-DNA complex assembly,,
450,focal adhesion assembly (GO:0048041),GO:0048041,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component assembly,cell junction assembly,cell-substrate junction assembly,,
451,posttranscriptional gene silencing by RNA (GO:0035194),GO:0035194,biological regulation,regulation of biological process,negative regulation of biological process,regulation of macromolecule metabolic process,negative regulation of macromolecule metabolic process,negative regulation of gene expression,post-transcriptional gene silencing,
452,glucan catabolic process (GO:0009251),GO:0009251,metabolic process,catabolic process,organic substance catabolic process,macromolecule catabolic process,glucan metabolic process,,,
453,DNA conformation change (GO:0071103),GO:0071103,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,chromosome organization,,,
454,phosphatidylglycerol metabolic process (GO:0046471),GO:0046471,cellular process,cellular metabolic process,phosphorus metabolic process,glycerolipid metabolic process,glycerophospholipid metabolic process,,,
455,regulation of cilium assembly (GO:1902017),GO:1902017,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of organelle assembly,regulation of plasma membrane bounded cell projection organization,,
456,phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092),GO:0036092,cellular process,primary metabolic process,organic substance biosynthetic process,lipid biosynthetic process,glycerophospholipid biosynthetic process,phosphatidylinositol metabolic process,phosphatidylinositol phosphate biosynthetic process,
457,negative regulation of adherens junction organization (GO:1903392),GO:1903392,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component organization,regulation of adherens junction organization,,,
458,synaptic vesicle cycle (GO:0099504),GO:0099504,localization,establishment of localization,transport,vesicle-mediated transport,vesicle-mediated transport in synapse,,,
459,regulation of wound healing (GO:0061041),GO:0061041,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of response to wounding,,,
460,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175),GO:1902175,biological regulation,regulation of biological process,regulation of signaling,regulation of cell communication,regulation of response to oxidative stress,regulation of apoptotic process,,
461,regulation of vascular associated smooth muscle cell migration (GO:1904752),GO:1904752,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell motility,regulation of cell migration,regulation of smooth muscle cell migration,,
462,negative regulation of protein transport (GO:0051224),GO:0051224,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of transport,regulation of protein localization,negative regulation of establishment of protein localization,,
463,positive regulation of cell projection organization (GO:0031346),GO:0031346,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,,,
464,ribosome disassembly (GO:0032790),GO:0032790,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle disassembly,,,
465,axon extension (GO:0048675),GO:0048675,cellular process,developmental growth,developmental growth involved in morphogenesis,neuron projection extension,,,,
466,regulation of protein import into nucleus (GO:0042306),GO:0042306,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,,
467,receptor localization to synapse (GO:0097120),GO:0097120,localization,protein-containing complex localization,,,,,,
468,fatty acid beta-oxidation (GO:0006635),GO:0006635,cellular process,catabolic process,small molecule catabolic process,fatty acid metabolic process,fatty acid catabolic process,monocarboxylic acid catabolic process,,
469,Notch signaling pathway (GO:0007219),GO:0007219,biological regulation,regulation of biological process,cell surface receptor signaling pathway,,,,,
470,positive regulation of interleukin-2 production (GO:0032743),GO:0032743,biological regulation,regulation of biological process,regulation of multicellular organismal process,positive regulation of multicellular organismal process,regulation of interleukin-2 production,positive regulation of gene expression,,
471,glucose transport (GO:0015758),GO:0015758,cellular process,establishment of localization,transport,monosaccharide transmembrane transport,carbohydrate transport,,,
472,cellular response to peptide hormone stimulus (GO:0071375),GO:0071375,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to peptide hormone,cellular response to peptide,,,
473,positive regulation of bone remodeling (GO:0046852),GO:0046852,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of tissue remodeling,positive regulation of tissue remodeling,,,
474,astral microtubule organization (GO:0030953),GO:0030953,cellular process,microtubule-based process,cellular component organization,supramolecular fiber organization,cytoskeleton organization,,,
475,modulation of chemical synaptic transmission (GO:0050804),GO:0050804,biological regulation,regulation of biological process,regulation of signaling,regulation of trans-synaptic signaling,,,,
476,Golgi to plasma membrane protein transport (GO:0043001),GO:0043001,cellular process,cellular localization,localization within membrane,protein localization to membrane,Golgi to plasma membrane transport,post-Golgi vesicle-mediated transport,,
477,regulation of histone deacetylation (GO:0031063),GO:0031063,biological regulation,regulation of biological process,regulation of metabolic process,regulation of primary metabolic process,regulation of protein metabolic process,regulation of protein modification process,regulation of histone modification,
478,regulation of blood circulation (GO:1903522),GO:1903522,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,,,,
479,motor neuron axon guidance (GO:0008045),GO:0008045,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,neuron projection guidance,axon guidance
480,stem cell development (GO:0048864),GO:0048864,developmental process,anatomical structure development,cell development,,,,,
481,positive regulation of bone mineralization (GO:0030501),GO:0030501,biological regulation,regulation of biological process,regulation of multicellular organismal process,positive regulation of multicellular organismal process,positive regulation of ossification,,,
482,negative regulation of response to wounding (GO:1903035),GO:1903035,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of response to stimulus,regulation of response to wounding,,,
483,regulation of calcium ion transmembrane transporter activity (GO:1901019),GO:1901019,biological regulation,regulation of biological process,regulation of transporter activity,regulation of transmembrane transport,regulation of monoatomic ion transmembrane transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transmembrane transport,
484,organonitrogen compound catabolic process (GO:1901565),GO:1901565,metabolic process,catabolic process,organic substance catabolic process,,,,,
485,histone H3 deacetylation (GO:0070932),GO:0070932,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,histone modification,histone deacetylation,,
486,positive regulation of glycogen metabolic process (GO:0070875),GO:0070875,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,positive regulation of carbohydrate metabolic process,positive regulation of glucose metabolic process,,
487,amyloid precursor protein metabolic process (GO:0042982),GO:0042982,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,,,,,
488,regulation of response to cytokine stimulus (GO:0060759),GO:0060759,biological regulation,regulation of biological process,regulation of response to stimulus,,,,,
489,positive regulation of nitric oxide metabolic process (GO:1904407),GO:1904407,biological regulation,regulation of biological process,regulation of metabolic process,regulation of nitrogen compound metabolic process,positive regulation of nitrogen compound metabolic process,,,
490,positive regulation of cellular carbohydrate metabolic process (GO:0010676),GO:0010676,,,,,,,,
491,cellular response to retinoic acid (GO:0071300),GO:0071300,cellular process,response to chemical,cellular response to chemical stimulus,cellular response to organic substance,cellular response to lipid,,,
492,regulation of microtubule polymerization (GO:0031113),GO:0031113,biological regulation,regulation of biological process,regulation of cellular process,regulation of microtubule-based process,regulation of protein-containing complex assembly,regulation of microtubule polymerization or depolymerization,,
493,organelle fusion (GO:0048284),GO:0048284,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,,,,
494,regulation of ion homeostasis (GO:2000021),GO:2000021,homeostatic process,chemical homeostasis,,,,,,
495,positive regulation of glial cell differentiation (GO:0045687),GO:0045687,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of cell development,positive regulation of cell development,regulation of gliogenesis,
496,regulation of cytokine production (GO:0001817),GO:0001817,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
497,rRNA modification (GO:0000154),GO:0000154,cellular process,primary metabolic process,organic cyclic compound metabolic process,macromolecule modification,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
498,regulation of dephosphorylation (GO:0035303),GO:0035303,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,,
499,mitochondrial ATP synthesis coupled electron transport (GO:0042775),GO:0042775,cellular process,cellular metabolic process,generation of precursor metabolites and energy,electron transport chain,respiratory electron transport chain,ATP synthesis coupled electron transport,,
500,regulation of viral release from host cell (GO:1902186),GO:1902186,,,,,,,,
501,positive regulation of synapse maturation (GO:0090129),GO:0090129,biological regulation,regulation of biological process,positive regulation of biological process,regulation of synapse maturation,regulation of synapse organization,,,
502,sulfur amino acid metabolic process (GO:0000096),GO:0000096,cellular process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,,,
503,"regulation of DNA-templated transcription, initiation (GO:2000142)",GO:2000142,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
504,calcium ion regulated exocytosis (GO:0017156),GO:0017156,cellular process,establishment of localization,transport,vesicle-mediated transport,regulated exocytosis,,,
505,retrograde axonal transport (GO:0008090),GO:0008090,cellular process,microtubule-based process,transport,cytoskeleton-dependent intracellular transport,axo-dendritic transport,axonal transport,,
506,regulation of establishment of cell polarity (GO:2000114),GO:2000114,biological regulation,regulation of biological process,regulation of cellular process,regulation of establishment or maintenance of cell polarity,,,,
