,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
381,neutral amino acid transport (GO:0015804),GO:0015804,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
382,cellular response to unfolded protein (GO:0034620),GO:0034620,cellular process,response to chemical,cellular response to stress,cellular response to organic substance,,,,
383,cellular senescence (GO:0090398),GO:0090398,metabolic process,cellular metabolic process,,,,,,
384,ribosomal small subunit assembly (GO:0000028),GO:0000028,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
385,regulation of glycogen biosynthetic process (GO:0005979),GO:0005979,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of polysaccharide metabolic process,regulation of polysaccharide biosynthetic process,regulation of glucan biosynthetic process,
386,telomere maintenance (GO:0000723),GO:0000723,cellular process,primary metabolic process,organic cyclic compound metabolic process,organelle organization,DNA metabolic process,telomere organization,,
387,inhibition of cysteine-type endopeptidase activity (GO:0097340),GO:0097340,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of protein metabolic process,negative regulation of protein metabolic process,negative regulation of protein maturation,negative regulation of cysteine-type endopeptidase activity
388,cGMP metabolic process (GO:0046068),GO:0046068,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,purine ribonucleotide metabolic process,,
389,negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948),GO:0030948,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,negative regulation of cellular response to growth factor stimulus,,,
390,peroxisome organization (GO:0007031),GO:0007031,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,,,,
391,polyol metabolic process (GO:0019751),GO:0019751,metabolic process,organic substance metabolic process,organic hydroxy compound metabolic process,,,,,
392,positive regulation of actin filament bundle assembly (GO:0032233),GO:0032233,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of supramolecular fiber organization,regulation of cytoskeleton organization,positive regulation of cytoskeleton organization,
393,autonomic nervous system development (GO:0048483),GO:0048483,developmental process,anatomical structure development,system development,,,,,
394,regulation of heart contraction (GO:0008016),GO:0008016,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,regulation of blood circulation,,,
395,regulation of helicase activity (GO:0051095),GO:0051095,biological regulation,regulation of molecular function,regulation of catalytic activity,,,,,
396,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),GO:0010770,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell differentiation,regulation of cell morphogenesis,regulation of cell morphogenesis involved in differentiation,,
397,positive regulation of glycogen biosynthetic process (GO:0045725),GO:0045725,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,positive regulation of carbohydrate metabolic process,positive regulation of macromolecule biosynthetic process,regulation of glucan biosynthetic process,
398,cellular response to nitrogen levels (GO:0043562),GO:0043562,cellular process,cell communication,cellular response to extracellular stimulus,cellular response to nutrient levels,,,,
399,activation of adenylate cyclase activity (GO:0007190),GO:0007190,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of lyase activity,positive regulation of cyclase activity,positive regulation of adenylate cyclase activity,,
400,regulation of cell migration involved in sprouting angiogenesis (GO:0090049),GO:0090049,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell motility,regulation of cell migration,regulation of blood vessel endothelial cell migration,,
401,synaptic vesicle endocytosis (GO:0048488),GO:0048488,localization,establishment of localization,transport,vesicle-mediated transport,endocytosis,,,
402,mRNA cleavage (GO:0006379),GO:0006379,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,nucleic acid phosphodiester bond hydrolysis,mRNA metabolic process,,
403,transcription-coupled nucleotide-excision repair (GO:0006283),GO:0006283,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,nucleotide-excision repair,,
404,mitotic DNA integrity checkpoint (GO:0044774),GO:0044774,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of cell cycle,negative regulation of cell cycle process,negative regulation of cell cycle phase transition,
405,regulation of cardiac conduction (GO:1903779),GO:1903779,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,regulation of blood circulation,regulation of heart contraction,,
406,mitotic sister chromatid segregation (GO:0000070),GO:0000070,cellular process,cell cycle process,chromosome segregation,organelle organization,sister chromatid segregation,,,
407,cellular response to nitrogen starvation (GO:0006995),GO:0006995,cellular process,cell communication,cellular response to extracellular stimulus,cellular response to starvation,cellular response to nitrogen levels,,,
408,DNA geometric change (GO:0032392),GO:0032392,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,chromosome organization,DNA conformation change,,
409,negative regulation of protein localization to plasma membrane (GO:1903077),GO:1903077,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,negative regulation of protein localization to membrane,regulation of protein localization to plasma membrane,
410,negative regulation of stress fiber assembly (GO:0051497),GO:0051497,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,regulation of actomyosin structure organization,negative regulation of cytoskeleton organization,
411,negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201),GO:0097201,cellular process,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,negative regulation of DNA-templated transcription,negative regulation of transcription by RNA polymerase II
412,regulation of bone resorption (GO:0045124),GO:0045124,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of tissue remodeling,regulation of bone remodeling,,,
413,aminoglycan metabolic process (GO:0006022),GO:0006022,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,,,,,
414,nuclear-transcribed mRNA catabolic process (GO:0000956),GO:0000956,cellular process,regulation of biological process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,mRNA metabolic process,,
415,positive regulation of metabolic process (GO:0009893),GO:0009893,biological regulation,regulation of biological process,positive regulation of biological process,,,,,
416,chemical synaptic transmission (GO:0007268),GO:0007268,biological regulation,regulation of biological process,cell-cell signaling,synaptic signaling,trans-synaptic signaling,anterograde trans-synaptic signaling,,
417,glycerolipid metabolic process (GO:0046486),GO:0046486,cellular process,cellular metabolic process,lipid metabolic process,,,,,
418,tRNA modification (GO:0006400),GO:0006400,cellular process,primary metabolic process,organic cyclic compound metabolic process,macromolecule modification,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing
419,regulation of cytosolic calcium ion concentration (GO:0051480),GO:0051480,homeostatic process,chemical homeostasis,inorganic ion homeostasis,calcium ion homeostasis,intracellular calcium ion homeostasis,,,
420,long-chain fatty acid transport (GO:0015909),GO:0015909,localization,establishment of localization,transport,organic substance transport,lipid transport,carboxylic acid transport,monocarboxylic acid transport,
421,axonal transport of mitochondrion (GO:0019896),GO:0019896,cellular process,cellular localization,microtubule-based movement,"establishment of mitochondrion localization, microtubule-mediated",mitochondrion transport along microtubule,axonal transport,,
422,positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145),GO:0033145,biological regulation,regulation of biological process,regulation of response to stimulus,positive regulation of response to stimulus,positive regulation of cell communication,,,
423,ribosomal large subunit assembly (GO:0000027),GO:0000027,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
424,regulation of ERBB signaling pathway (GO:1901184),GO:1901184,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
425,regulation of blood vessel endothelial cell migration (GO:0043535),GO:0043535,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell motility,regulation of cell migration,,,
426,regulation of membrane protein ectodomain proteolysis (GO:0051043),GO:0051043,biological regulation,regulation of biological process,regulation of metabolic process,regulation of catabolic process,regulation of cellular catabolic process,regulation of proteolysis,,
427,regulation of calcium ion transmembrane transport (GO:1903169),GO:1903169,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,regulation of monoatomic ion transmembrane transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transport,
428,histone exchange (GO:0043486),GO:0043486,,,,,,,,
429,cytoplasmic mRNA processing body assembly (GO:0033962),GO:0033962,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle assembly,non-membrane-bounded organelle assembly,,
430,maturation of LSU-rRNA (GO:0000470),GO:0000470,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
431,positive regulation of transcription regulatory region DNA binding (GO:2000679),GO:2000679,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of DNA binding,positive regulation of DNA binding,,,
432,negative regulation of cyclase activity (GO:0031280),GO:0031280,biological regulation,regulation of molecular function,negative regulation of molecular function,negative regulation of catalytic activity,,,,
433,carbohydrate catabolic process (GO:0016052),GO:0016052,metabolic process,catabolic process,organic substance catabolic process,,,,,
434,glycolytic process (GO:0006096),GO:0006096,cellular process,catabolic process,organic acid metabolic process,carbohydrate catabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,pyruvate metabolic process,
435,embryonic heart tube development (GO:0035050),GO:0035050,developmental process,anatomical structure development,tissue development,epithelium development,,,,
436,cellular lipid biosynthetic process (GO:0097384),GO:0097384,cellular process,biosynthetic process,lipid metabolic process,lipid biosynthetic process,,,,
437,homotypic cell-cell adhesion (GO:0034109),GO:0034109,cellular process,cell adhesion,cell-cell adhesion,,,,,
438,regulation of AMPA receptor activity (GO:2000311),GO:2000311,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,,,
439,regulation of neuron projection development (GO:0010975),GO:0010975,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,,
440,mitochondrial translational termination (GO:0070126),GO:0070126,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex disassembly,translational termination,,
441,positive regulation of stress fiber assembly (GO:0051496),GO:0051496,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of supramolecular fiber organization,positive regulation of actin filament bundle assembly,positive regulation of cytoskeleton organization,
442,presynapse assembly (GO:0099054),GO:0099054,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component assembly,,,,
443,double-strand break repair via nonhomologous end joining (GO:0006303),GO:0006303,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,double-strand break repair,,
444,snRNA transcription from RNA polymerase II promoter (GO:0042795),GO:0042795,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,ncRNA metabolic process,DNA-templated transcription,ncRNA transcription
445,miRNA loading onto RISC involved in gene silencing by miRNA (GO:0035280),GO:0035280,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
446,regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),GO:0060260,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
447,cellular potassium ion homeostasis (GO:0030007),GO:0030007,homeostatic process,chemical homeostasis,inorganic ion homeostasis,potassium ion homeostasis,intracellular monoatomic cation homeostasis,,,
448,positive regulation of histone phosphorylation (GO:0033129),GO:0033129,,,,,,,,
449,regulation of autophagy of mitochondrion (GO:1903146),GO:1903146,biological regulation,regulation of biological process,regulation of metabolic process,regulation of catabolic process,regulation of cellular catabolic process,regulation of autophagy,,
450,positive regulation of protein tyrosine kinase activity (GO:0061098),GO:0061098,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein tyrosine kinase activity,regulation of peptidyl-tyrosine phosphorylation
451,neuromuscular junction development (GO:0007528),GO:0007528,cellular process,cellular component organization or biogenesis,cellular component organization,cell junction organization,synapse organization,,,
452,"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",GO:0006120,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,respiratory electron transport chain,aerobic respiration,,
453,negative regulation of protein localization to membrane (GO:1905476),GO:1905476,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of protein localization to membrane,,
454,negative regulation of calcium-mediated signaling (GO:0050849),GO:0050849,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,negative regulation of signal transduction,negative regulation of intracellular signal transduction,,
455,positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),GO:0120034,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular component biogenesis,positive regulation of cellular component biogenesis,regulation of plasma membrane bounded cell projection organization,,
456,positive regulation of cardiac muscle tissue growth (GO:0055023),GO:0055023,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of organ growth,regulation of heart growth,positive regulation of heart growth,,
457,snRNA processing (GO:0016180),GO:0016180,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,snRNA metabolic process,
458,glycerophospholipid catabolic process (GO:0046475),GO:0046475,cellular process,catabolic process,cellular lipid metabolic process,organophosphate catabolic process,glycerolipid catabolic process,,,
459,positive regulation of interleukin-10 production (GO:0032733),GO:0032733,biological regulation,regulation of biological process,regulation of multicellular organismal process,positive regulation of multicellular organismal process,regulation of interleukin-10 production,positive regulation of gene expression,,
460,cGMP biosynthetic process (GO:0006182),GO:0006182,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,purine ribonucleotide metabolic process,cyclic nucleotide biosynthetic process,
461,negative regulation of dendrite development (GO:2000171),GO:2000171,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
462,organic hydroxy compound transport (GO:0015850),GO:0015850,localization,establishment of localization,transport,organic substance transport,,,,
463,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),GO:0050427,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleoside bisphosphate metabolic process,purine ribonucleotide metabolic process,,
464,skeletal system development (GO:0001501),GO:0001501,developmental process,anatomical structure development,system development,,,,,
465,regulation of interleukin-6 production (GO:0032675),GO:0032675,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
466,cellular response to leucine (GO:0071233),GO:0071233,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organonitrogen compound,response to leucine,,,
467,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",GO:0006123,cellular process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,respiratory electron transport chain,aerobic respiration,,
468,renal water homeostasis (GO:0003091),GO:0003091,homeostatic process,chemical homeostasis,multicellular organismal-level chemical homeostasis,multicellular organismal-level water homeostasis,,,,
469,negative regulation of lyase activity (GO:0051350),GO:0051350,biological regulation,regulation of molecular function,negative regulation of molecular function,negative regulation of catalytic activity,,,,
470,positive regulation of T cell cytokine production (GO:0002726),GO:0002726,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of adaptive immune response,positive regulation of leukocyte mediated immunity,regulation of T cell mediated immunity,positive regulation of T cell mediated immunity
471,glycolytic process through glucose-6-phosphate (GO:0061620),GO:0061620,cellular process,catabolic process,organic acid metabolic process,carbohydrate catabolic process,glycolytic process,glycolytic process through fructose-6-phosphate,pyruvate metabolic process,
472,DNA-templated transcriptional preinitiation complex assembly (GO:0070897),GO:0070897,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,protein-DNA complex assembly,,
473,regulation of adherens junction organization (GO:1903391),GO:1903391,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,,,,
474,aminoglycan catabolic process (GO:0006026),GO:0006026,metabolic process,catabolic process,organic substance catabolic process,macromolecule catabolic process,,,,
475,posttranscriptional gene silencing by RNA (GO:0035194),GO:0035194,biological regulation,regulation of biological process,negative regulation of biological process,regulation of macromolecule metabolic process,negative regulation of macromolecule metabolic process,negative regulation of gene expression,post-transcriptional gene silencing,
476,C-terminal protein amino acid modification (GO:0018410),GO:0018410,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,post-translational protein modification,,,
477,positive regulation of actin nucleation (GO:0051127),GO:0051127,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of actin cytoskeleton organization,regulation of cytoskeleton organization,regulation of actin nucleation,
478,regulation of cilium assembly (GO:1902017),GO:1902017,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of organelle assembly,regulation of plasma membrane bounded cell projection organization,,
479,phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092),GO:0036092,cellular process,primary metabolic process,organic substance biosynthetic process,lipid biosynthetic process,glycerophospholipid biosynthetic process,phosphatidylinositol metabolic process,phosphatidylinositol phosphate biosynthetic process,
480,negative regulation of adherens junction organization (GO:1903392),GO:1903392,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component organization,regulation of adherens junction organization,,,
481,synaptic vesicle cycle (GO:0099504),GO:0099504,localization,establishment of localization,transport,vesicle-mediated transport,vesicle-mediated transport in synapse,,,
482,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175),GO:1902175,biological regulation,regulation of biological process,regulation of signaling,regulation of cell communication,regulation of response to oxidative stress,regulation of apoptotic process,,
483,regulation of vascular associated smooth muscle cell migration (GO:1904752),GO:1904752,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell motility,regulation of cell migration,regulation of smooth muscle cell migration,,
484,positive regulation of cell projection organization (GO:0031346),GO:0031346,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of cell projection organization,,,
485,positive regulation of microtubule motor activity (GO:2000576),GO:2000576,,,,,,,,
486,positive regulation of intracellular transport (GO:0032388),GO:0032388,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of intracellular transport,,,
487,ribosome disassembly (GO:0032790),GO:0032790,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle disassembly,,,
488,axon extension (GO:0048675),GO:0048675,cellular process,developmental growth,developmental growth involved in morphogenesis,neuron projection extension,,,,
489,regulation of protein import into nucleus (GO:0042306),GO:0042306,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,,
490,positive regulation of proteolysis (GO:0045862),GO:0045862,biological regulation,regulation of biological process,positive regulation of biological process,regulation of primary metabolic process,positive regulation of nitrogen compound metabolic process,regulation of proteolysis,,
491,receptor localization to synapse (GO:0097120),GO:0097120,localization,protein-containing complex localization,,,,,,
492,fatty acid beta-oxidation (GO:0006635),GO:0006635,cellular process,catabolic process,small molecule catabolic process,fatty acid metabolic process,fatty acid catabolic process,monocarboxylic acid catabolic process,,
493,Rho protein signal transduction (GO:0007266),GO:0007266,biological regulation,regulation of biological process,intracellular signal transduction,small GTPase mediated signal transduction,Ras protein signal transduction,,,
494,cytosolic calcium ion transport (GO:0060401),GO:0060401,cellular process,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,metal ion transport,,
495,membrane depolarization (GO:0051899),GO:0051899,biological regulation,regulation of biological quality,regulation of membrane potential,,,,,
496,Notch signaling pathway (GO:0007219),GO:0007219,biological regulation,regulation of biological process,cell surface receptor signaling pathway,,,,,
497,positive regulation of interleukin-2 production (GO:0032743),GO:0032743,biological regulation,regulation of biological process,regulation of multicellular organismal process,positive regulation of multicellular organismal process,regulation of interleukin-2 production,positive regulation of gene expression,,
498,IRE1-mediated unfolded protein response (GO:0036498),GO:0036498,biological regulation,regulation of biological process,cellular response to stress,response to endoplasmic reticulum stress,,,,
499,glucose transport (GO:0015758),GO:0015758,cellular process,establishment of localization,transport,monosaccharide transmembrane transport,carbohydrate transport,,,
500,3'-UTR-mediated mRNA destabilization (GO:0061158),GO:0061158,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,negative regulation of protein metabolic process,positive regulation of mRNA metabolic process,
501,cellular response to peptide hormone stimulus (GO:0071375),GO:0071375,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to peptide hormone,cellular response to peptide,,,
502,positive regulation of bone remodeling (GO:0046852),GO:0046852,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of tissue remodeling,positive regulation of tissue remodeling,,,
503,fatty acid oxidation (GO:0019395),GO:0019395,cellular process,cellular metabolic process,organic acid metabolic process,fatty acid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,
504,positive regulation of endopeptidase activity (GO:0010950),GO:0010950,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of proteolysis,positive regulation of proteolysis,
505,astral microtubule organization (GO:0030953),GO:0030953,cellular process,microtubule-based process,cellular component organization,supramolecular fiber organization,cytoskeleton organization,,,
506,substantia nigra development (GO:0021762),GO:0021762,developmental process,anatomical structure development,neural nucleus development,,,,,
507,regulation of histone deacetylation (GO:0031063),GO:0031063,biological regulation,regulation of biological process,regulation of metabolic process,regulation of primary metabolic process,regulation of protein metabolic process,regulation of protein modification process,regulation of histone modification,
508,negative regulation of neuron projection development (GO:0010977),GO:0010977,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
509,motor neuron axon guidance (GO:0008045),GO:0008045,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,neuron projection guidance,axon guidance
510,protein localization to endosome (GO:0036010),GO:0036010,cellular process,cellular localization,cellular macromolecule localization,protein localization,protein localization to organelle,,,
511,negative regulation of response to wounding (GO:1903035),GO:1903035,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of response to stimulus,regulation of response to wounding,,,
512,regulation of calcium ion transmembrane transporter activity (GO:1901019),GO:1901019,biological regulation,regulation of biological process,regulation of transporter activity,regulation of transmembrane transport,regulation of monoatomic ion transmembrane transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transmembrane transport,
513,monocarboxylic acid biosynthetic process (GO:0072330),GO:0072330,cellular process,biosynthetic process,organic acid metabolic process,organic acid biosynthetic process,carboxylic acid biosynthetic process,monocarboxylic acid metabolic process,,
514,RNA polymerase II transcriptional preinitiation complex assembly (GO:0051123),GO:0051123,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,protein-DNA complex assembly,transcription preinitiation complex assembly,
515,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176),GO:1902176,biological regulation,regulation of biological process,regulation of signaling,negative regulation of cellular process,regulation of response to oxidative stress,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,negative regulation of intrinsic apoptotic signaling pathway,
516,DNA dealkylation involved in DNA repair (GO:0006307),GO:0006307,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,DNA dealkylation,,
517,organonitrogen compound catabolic process (GO:1901565),GO:1901565,metabolic process,catabolic process,organic substance catabolic process,,,,,
518,"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",GO:0030330,biological regulation,regulation of biological process,intracellular signal transduction,signal transduction by p53 class mediator,,,,
519,regulation of short-term neuronal synaptic plasticity (GO:0048172),GO:0048172,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of neuronal synaptic plasticity,modulation of chemical synaptic transmission,,,
520,histone H3 deacetylation (GO:0070932),GO:0070932,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,histone modification,histone deacetylation,,
521,positive regulation of glycogen metabolic process (GO:0070875),GO:0070875,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,positive regulation of carbohydrate metabolic process,positive regulation of glucose metabolic process,,
522,amyloid precursor protein metabolic process (GO:0042982),GO:0042982,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,,,,,
523,response to ethanol (GO:0045471),GO:0045471,response to stimulus,response to chemical,response to organic substance,response to alcohol,,,,
524,regulation of response to cytokine stimulus (GO:0060759),GO:0060759,biological regulation,regulation of biological process,regulation of response to stimulus,,,,,
525,positive regulation of nitric oxide metabolic process (GO:1904407),GO:1904407,biological regulation,regulation of biological process,regulation of metabolic process,regulation of nitrogen compound metabolic process,positive regulation of nitrogen compound metabolic process,,,
526,positive regulation of helicase activity (GO:0051096),GO:0051096,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of helicase activity,,,,
527,positive regulation of cellular carbohydrate metabolic process (GO:0010676),GO:0010676,,,,,,,,
528,cellular response to retinoic acid (GO:0071300),GO:0071300,cellular process,response to chemical,cellular response to chemical stimulus,cellular response to organic substance,cellular response to lipid,,,
529,establishment of endothelial barrier (GO:0061028),GO:0061028,developmental process,anatomical structure development,cell development,epithelial cell development,endothelial cell development,,,
530,regulation of microtubule polymerization (GO:0031113),GO:0031113,biological regulation,regulation of biological process,regulation of cellular process,regulation of microtubule-based process,regulation of protein-containing complex assembly,regulation of microtubule polymerization or depolymerization,,
531,organelle fusion (GO:0048284),GO:0048284,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,,,,
532,positive regulation of glial cell differentiation (GO:0045687),GO:0045687,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of cell development,positive regulation of cell development,regulation of gliogenesis,
533,positive regulation of dendrite extension (GO:1903861),GO:1903861,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell growth,regulation of cell morphogenesis,,,
534,rRNA modification (GO:0000154),GO:0000154,cellular process,primary metabolic process,organic cyclic compound metabolic process,macromolecule modification,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
535,detection of calcium ion (GO:0005513),GO:0005513,response to stimulus,response to chemical,response to inorganic substance,response to metal ion,,,,
536,regulation of dephosphorylation (GO:0035303),GO:0035303,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,,
537,mitochondrial ATP synthesis coupled electron transport (GO:0042775),GO:0042775,cellular process,cellular metabolic process,generation of precursor metabolites and energy,electron transport chain,respiratory electron transport chain,ATP synthesis coupled electron transport,,
538,regulation of viral release from host cell (GO:1902186),GO:1902186,,,,,,,,
539,positive regulation of synapse maturation (GO:0090129),GO:0090129,biological regulation,regulation of biological process,positive regulation of biological process,regulation of synapse maturation,regulation of synapse organization,,,
540,regulation of JUN kinase activity (GO:0043506),GO:0043506,biological regulation,regulation of biological process,regulation of catalytic activity,regulation of cellular metabolic process,regulation of kinase activity,regulation of protein modification process,regulation of protein phosphorylation,regulation of MAP kinase activity
541,"regulation of DNA-templated transcription, initiation (GO:2000142)",GO:2000142,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
542,regulation of establishment of cell polarity (GO:2000114),GO:2000114,biological regulation,regulation of biological process,regulation of cellular process,regulation of establishment or maintenance of cell polarity,,,,
543,NADH dehydrogenase complex assembly (GO:0010257),GO:0010257,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,,,
