,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
322,positive regulation of phosphatase activity (GO:0010922),GO:0010922,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,positive regulation of phosphate metabolic process,positive regulation of dephosphorylation
323,rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428),GO:0071428,,,,,,,,
324,cyclic nucleotide metabolic process (GO:0009187),GO:0009187,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,,,
325,regulation of supramolecular fiber organization (GO:1902903),GO:1902903,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,,,,
326,ncRNA catabolic process (GO:0034661),GO:0034661,cellular process,catabolic process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,ncRNA metabolic process,,
327,positive regulation of inflammatory response (GO:0050729),GO:0050729,biological regulation,regulation of biological process,regulation of response to stimulus,positive regulation of response to stimulus,regulation of defense response,,,
328,translation (GO:0006412),GO:0006412,cellular process,primary metabolic process,organic substance biosynthetic process,peptide metabolic process,peptide biosynthetic process,,,
329,peptide catabolic process (GO:0043171),GO:0043171,cellular process,catabolic process,organic substance catabolic process,organonitrogen compound catabolic process,,,,
330,miRNA mediated inhibition of translation (GO:0035278),GO:0035278,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of biosynthetic process,negative regulation of protein metabolic process,post-transcriptional gene silencing,ncRNA-mediated post-transcriptional gene silencing
331,regulation of cardiac muscle cell membrane repolarization (GO:0099623),GO:0099623,biological regulation,regulation of biological process,regulation of membrane repolarization,,,,,
332,"negative regulation of gene expression, epigenetic (GO:0045814)",GO:0045814,biological regulation,regulation of biological process,negative regulation of biological process,protein-containing complex organization,negative regulation of macromolecule metabolic process,negative regulation of gene expression,chromatin remodeling,
333,positive regulation of interferon-alpha production (GO:0032727),GO:0032727,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of multicellular organismal process,regulation of gene expression,positive regulation of type I interferon production,,
334,mesonephric tubule development (GO:0072164),GO:0072164,developmental process,anatomical structure development,tissue development,epithelium development,kidney epithelium development,mesonephric epithelium development,,
335,regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069),GO:1903069,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of ubiquitin-dependent protein catabolic process,regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of proteolysis involved in protein catabolic process,
336,neurotransmitter receptor internalization (GO:0099590),GO:0099590,localization,protein-containing complex localization,transport,vesicle-mediated transport,endocytosis,receptor-mediated endocytosis,receptor internalization,
337,regulation of long term synaptic depression (GO:1900452),GO:1900452,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
338,positive regulation of endothelial cell chemotaxis (GO:2001028),GO:2001028,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of locomotion,positive regulation of cell motility,positive regulation of cell migration,,
339,neuromuscular process (GO:0050905),GO:0050905,multicellular organismal process,system process,nervous system process,,,,,
340,vesicle-mediated transport in synapse (GO:0099003),GO:0099003,localization,establishment of localization,transport,vesicle-mediated transport,,,,
341,N-terminal protein amino acid modification (GO:0031365),GO:0031365,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,,,,
342,contractile actin filament bundle assembly (GO:0030038),GO:0030038,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,actin filament bundle assembly,actin filament bundle organization,,
343,canonical glycolysis (GO:0061621),GO:0061621,cellular process,catabolic process,small molecule catabolic process,carbohydrate catabolic process,hexose catabolic process,glucose catabolic process,glucose catabolic process to pyruvate,
344,prostaglandin biosynthetic process (GO:0001516),GO:0001516,cellular process,small molecule metabolic process,organic substance biosynthetic process,fatty acid metabolic process,carboxylic acid metabolic process,unsaturated fatty acid biosynthetic process,prostanoid biosynthetic process,
345,neurotransmitter receptor diffusion trapping (GO:0099628),GO:0099628,cellular process,protein-containing complex localization,receptor diffusion trapping,,,,,
346,regulation of NF-kappaB import into nucleus (GO:0042345),GO:0042345,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,,,
347,endocrine system development (GO:0035270),GO:0035270,developmental process,anatomical structure development,system development,,,,,
348,strand displacement (GO:0000732),GO:0000732,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
349,adenylate cyclase-activating G-protein coupled receptor signaling pathway (GO:0007189),GO:0007189,biological regulation,regulation of biological process,G protein-coupled receptor signaling pathway,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,,,,
350,positive regulation of fatty acid metabolic process (GO:0045923),GO:0045923,biological regulation,regulation of biological process,positive regulation of biological process,regulation of small molecule metabolic process,positive regulation of small molecule metabolic process,regulation of fatty acid metabolic process,,
351,branched-chain amino acid metabolic process (GO:0009081),GO:0009081,cellular process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,,,
352,positive regulation of Rho protein signal transduction (GO:0035025),GO:0035025,biological regulation,regulation of biological process,regulation of signaling,regulation of cell communication,regulation of intracellular signal transduction,regulation of small GTPase mediated signal transduction,regulation of Ras protein signal transduction,positive regulation of Ras protein signal transduction
353,regulation of clathrin-dependent endocytosis (GO:2000369),GO:2000369,biological regulation,regulation of biological process,regulation of localization,regulation of vesicle-mediated transport,regulation of endocytosis,regulation of receptor-mediated endocytosis,,
354,"positive regulation of synaptic transmission, glutamatergic (GO:0051968)",GO:0051968,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cell communication,"regulation of synaptic transmission, glutamatergic",,
355,regulation of cellular metabolic process (GO:0031323),GO:0031323,biological regulation,regulation of biological process,regulation of metabolic process,,,,,
356,viral transcription (GO:0019083),GO:0019083,viral process,,,,,,,
357,postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970),GO:0098970,biological regulation,protein-containing complex localization,receptor diffusion trapping,neurotransmitter receptor diffusion trapping,,,,
358,regulation of extent of cell growth (GO:0061387),GO:0061387,biological regulation,regulation of biological process,regulation of growth,regulation of cell growth,,,,
359,response to leucine (GO:0043201),GO:0043201,response to stimulus,response to chemical,response to organic substance,response to organonitrogen compound,,,,
360,positive regulation of focal adhesion assembly (GO:0051894),GO:0051894,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell adhesion,regulation of cell-substrate junction organization,regulation of cell-matrix adhesion,positive regulation of cell-matrix adhesion,
361,regulation of cAMP biosynthetic process (GO:0030817),GO:0030817,,,,,,,,
362,cytoplasmic sequestering of protein (GO:0051220),GO:0051220,localization,maintenance of location,maintenance of protein location,,,,,
363,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),GO:0007200,biological regulation,regulation of biological process,G protein-coupled receptor signaling pathway,,,,,
364,positive regulation of transport (GO:0051050),GO:0051050,biological regulation,regulation of biological process,positive regulation of biological process,regulation of transport,,,,
365,regulation of muscle contraction (GO:0006937),GO:0006937,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,regulation of muscle system process,,,
366,regulation of phosphate metabolic process (GO:0019220),GO:0019220,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,,,
367,cellular response to topologically incorrect protein (GO:0035967),GO:0035967,cellular process,response to chemical,cellular response to stress,cellular response to organic substance,,,,
368,positive regulation of regulated secretory pathway (GO:1903307),GO:1903307,biological regulation,regulation of biological process,positive regulation of biological process,regulation of secretion by cell,regulation of secretion,positive regulation of exocytosis,,
369,regulation of secretion by cell (GO:1903530),GO:1903530,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of secretion,,,
370,positive regulation of mRNA processing (GO:0050685),GO:0050685,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,positive regulation of mRNA metabolic process,
371,regulation of establishment or maintenance of cell polarity (GO:0032878),GO:0032878,biological regulation,regulation of biological process,regulation of cellular process,,,,,
372,regulation of activated T cell proliferation (GO:0046006),GO:0046006,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell activation,regulation of leukocyte proliferation,regulation of mononuclear cell proliferation,regulation of T cell proliferation,
373,negative regulation of actin filament bundle assembly (GO:0032232),GO:0032232,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,negative regulation of supramolecular fiber organization,negative regulation of cytoskeleton organization,
374,N-glycan processing (GO:0006491),GO:0006491,metabolic process,nitrogen compound metabolic process,carbohydrate derivative metabolic process,glycoprotein metabolic process,,,,
375,retinal ganglion cell axon guidance (GO:0031290),GO:0031290,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,neuron projection guidance,axon guidance
376,acyl-CoA biosynthetic process (GO:0071616),GO:0071616,cellular process,small molecule metabolic process,cellular aromatic compound metabolic process,organophosphate biosynthetic process,nucleoside bisphosphate metabolic process,purine ribonucleotide metabolic process,ribonucleoside bisphosphate biosynthetic process,
377,regulation of axonogenesis (GO:0050770),GO:0050770,biological regulation,regulation of biological process,regulation of developmental process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
378,centromere complex assembly (GO:0034508),GO:0034508,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,protein-DNA complex organization,protein-DNA complex assembly,,
379,positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101),GO:1902101,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of chromosome segregation,regulation of sister chromatid segregation,
380,neuromuscular process controlling balance (GO:0050885),GO:0050885,multicellular organismal process,system process,nervous system process,neuromuscular process,,,,
381,negative regulation of protein import into nucleus (GO:0042308),GO:0042308,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of protein import into nucleus,
382,negative regulation of microtubule polymerization (GO:0031115),GO:0031115,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,regulation of microtubule polymerization,negative regulation of cytoskeleton organization,
383,neuron apoptotic process (GO:0051402),GO:0051402,cellular process,cell death,neuron death,apoptotic process,,,,
384,negative regulation of inclusion body assembly (GO:0090084),GO:0090084,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,regulation of inclusion body assembly,,,
385,regulation of T cell receptor signaling pathway (GO:0050856),GO:0050856,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of immune response,regulation of antigen receptor-mediated signaling pathway,,,
386,neuron cell-cell adhesion (GO:0007158),GO:0007158,cellular process,cell adhesion,cell-cell adhesion,,,,,
387,positive regulation of cell communication (GO:0010647),GO:0010647,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,,,,
388,DNA replication initiation (GO:0006270),GO:0006270,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
389,CENP-A containing nucleosome assembly (GO:0034080),GO:0034080,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,chromatin organization,chromatin remodeling,chromatin remodeling at centromere
390,RNA methylation (GO:0001510),GO:0001510,cellular process,methylation,organic cyclic compound metabolic process,macromolecule modification,RNA metabolic process,,,
391,regulation of monocyte differentiation (GO:0045655),GO:0045655,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell differentiation,regulation of leukocyte differentiation,regulation of myeloid leukocyte differentiation,,
392,ERBB2 signaling pathway (GO:0038128),GO:0038128,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,ERBB signaling pathway,,
393,beta-catenin destruction complex disassembly (GO:1904886),GO:1904886,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex disassembly,,,
394,positive regulation of biosynthetic process (GO:0009891),GO:0009891,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,,,,
395,cytoplasmic pattern recognition receptor signaling pathway (GO:0002753),GO:0002753,cellular process,activation of immune response,positive regulation of biological process,regulation of response to stress,positive regulation of response to biotic stimulus,positive regulation of innate immune response,,
396,"neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)",GO:0098943,cellular process,cellular localization,cellular macromolecule localization,vacuolar transport,lysosomal transport,protein localization to vacuole,protein localization to lysosome,
397,regulation of anoikis (GO:2000209),GO:2000209,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell death,regulation of programmed cell death,regulation of apoptotic process,,
398,chromatin remodeling at centromere (GO:0031055),GO:0031055,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,chromatin organization,chromatin remodeling,
399,negative regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902894),GO:1902894,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,negative regulation of miRNA metabolic process,negative regulation of nucleic acid-templated transcription
400,DNA dealkylation (GO:0035510),GO:0035510,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
401,cyclic purine nucleotide metabolic process (GO:0052652),GO:0052652,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,cyclic nucleotide metabolic process,,
402,regulation of T cell differentiation (GO:0045580),GO:0045580,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell activation,regulation of leukocyte differentiation,regulation of T cell activation,,
403,negative regulation of actin filament polymerization (GO:0030837),GO:0030837,cellular process,regulation of biological process,negative regulation of biological process,regulation of cellular component size,regulation of actin filament length,regulation of protein polymerization,negative regulation of cytoskeleton organization,
404,negative regulation of immune effector process (GO:0002698),GO:0002698,biological regulation,regulation of biological process,negative regulation of biological process,regulation of immune effector process,,,,
405,cytoplasmic translation (GO:0002181),GO:0002181,cellular process,primary metabolic process,organic substance biosynthetic process,peptide metabolic process,peptide biosynthetic process,,,
406,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269),GO:2001269,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of proteolysis,positive regulation of endopeptidase activity,positive regulation of cysteine-type endopeptidase activity
407,regulation of monooxygenase activity (GO:0032768),GO:0032768,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of oxidoreductase activity,,,,
